,Born,Birth place,Died,Place of Death,Notable Works,Subjects Of Study,Philosophers
135,1290,England,1346,England,,"Aristotelianism, Latin Averroism",John Baconthorpe
136,1859,Vermont,1952,York,,"Philosophy Of Education, Progressive Education",John Dewey
137,1842,Connecticut,1901,Massachusetts,"“The Critical Period Of American History, 1783–1789”, “Outlines Of Cosmic Philosophy”",Evolution,John Fiske
138,1911,England,1960,England,,Linguistics,John Langshaw Austin
139,1632,England,1704,England,"“Two Treatises Of Government”, “The Reasonableness Of Christianity”, “Some Thoughts Concerning Education”, “Essays On The Law Of Nature”, “A Letter Concerning Toleration”, “An Essay Concerning Human Understanding”, “Two Tracts On Government”","Christianity, Language, Government, Universal, Personal Identity",John Locke
140,1852,England,1949,England,"“Studies And Exercises In Formal Logic”, “The Scope And Method Of Political Economy”","Economics, Deduction, Induction, Methodology",John Neville Keynes
141,1860,Scotland,1936,England,,"Coal Mining, Safety, Mine Gas, Gas Exchange",John Scott Haldane
142,1806,England,1873,France,"“Principles Of Political Economy”, “Autobiography”, “Considerations On Representative Government”, “Essays On Some Unsettled Questions Of Political Economy”, “Utilitarianism”, “A System Of Logic”, “Examination Of Sir William Hamilton’S Philosophy”, “The Subjection Of Women”, “On Liberty”","Utilitarianism, Induction",John Stuart Mill
143,1834,England,1923,England,,"Probability Theory, Venn Diagram, Categorical Proposition, Syllogism",John Venn
144,1330,England,1384,England,,"Lollards, Predestination, Transubstantiation",John Wycliffe
145,1255,France,1306,France,,"Papacy, Thomism, Authority, Church And State, Eucharist",John of Paris
146,1120,England,1180,France,,Political Philosophy,John of Salisbury
147,1703,Connecticut,1758,Jersey,,"Puritanism, Revivalism",Jonathan Edwards
148,1883,Spain,1955,Spain,,Mass Society,Jose Ortega y Gasset
149,1882,Mexico,1959,Mexico,,Monism,Jose Vasconcelos
150,1692,England,1752,England,,"Ethics, Revelation, Religion",Joseph Butler
151,1733,England,1804,Pennsylvania,"“Essay On The First Principles Of Government And On The Nature Of Political, Civil, And Religious Liberty”, “The History And Present State Of Electricity, With Original Experiments”","Electricity, Gas, Atmosphere, Photosynthesis, Oxide",Joseph Priestley
152,1855,California,1916,Massachusetts,,"Truth, Will",Josiah Royce
153,1887,England,1975,England,,"Evolution, Taxonomy, Embryo, Behaviour",Julian Huxley
154,1547,Belgium,1606,Belgium,"“On Constancy”, “Six Books Of Politics Or Political Instruction”",Stoicism,Justus Lipsius
155,1883,Germany,1969,Switzerland,,Psychopathology,Karl Jaspers
156,1818,Germany,1883,England,"“Das Kapital”, “The Communist Manifesto”","Philosophy Of History, Capitalism, Use Value, Exchange Value",Karl Marx
157,1902,Austria,1994,England,“The Logic Of Scientific Discovery”,"Scientific Method, Criterion Of Falsifiability, Induction",Karl Popper
158,1619,Japan,1691,Japan,,"Wang Yangming, Neo-Confucianism",Kumazawa Banzan
159,1823,Poland,1891,Germany,,"Algebraic Equation, Algebraic Number, Elliptic Function",Leopold Kronecker
160,772,China,841,China,,Confucianism,Li Ao
161,1893,China,1988,China,“Dongxiwenhua Ji Qu Zhexue”,"China, Peasantry, Neo-Confucianism",Liang Shuming
162,1407,Italy,1457,Italy,,"Latin Language, Grammar, Donation Of Constantine",Lorenzo Valla
163,1918,Algeria,1990,France,,"Marxism, Structuralism",Louis Althusser
164,1883,France,1951,France,,Ontology,Louis Lavelle
165,1868,France,1914,France,,"Logic, Gottfried Wilhelm Leibniz, Formal System, International Language",Louis-Alexandre Couturat
166,1139,China,1193,China,,"Xinxue, Neo-Confucianism",Lu Jiuyuan
